Error Analysis - FINGER
============================================================

Confusion Matrix:
           |   0    1    2    3    4
         0 |    5  101    2    0    0
         1 |    5  352   23    1    0
         2 |    1  125   31    0    0
         3 |    0   18    5    0    0
         4 |    0    2    0    0    0

Per-class accuracy:
Score 0: 5/108 = 4.6%
Score 1: 352/381 = 92.4%
Score 2: 31/157 = 19.7%
Score 3: 0/23 = 0.0%
Score 4: 0/2 = 0.0%

All predictions:
idx,true,pred,raw_pred,error
523,0,1,0.824,1
524,0,1,1.131,1
525,1,1,1.070,0
526,1,1,1.099,0
527,1,1,1.097,0
528,1,2,2.171,1
529,1,3,2.532,2
530,1,1,0.746,0
531,1,1,1.331,0
532,2,1,1.451,1
533,1,2,2.261,1
534,3,1,1.115,2
535,2,1,1.230,1
536,1,2,1.676,1
537,2,1,1.134,1
538,1,1,0.563,0
539,1,1,1.274,0
540,0,1,0.840,1
541,2,1,0.966,1
542,1,1,0.702,0
543,2,2,1.779,0
544,1,1,0.626,0
545,4,1,1.253,3
546,2,2,1.557,0
547,1,1,1.152,0
548,0,1,1.017,1
549,0,1,0.742,1
550,0,1,0.780,1
551,2,1,1.492,1
552,0,1,1.370,1
553,0,0,0.484,0
554,1,1,0.687,0
555,2,1,1.145,1
556,1,1,1.075,0
557,2,1,0.983,1
558,1,1,0.857,0
559,1,1,1.159,0
560,2,1,1.112,1
561,2,1,1.192,1
562,1,1,1.020,0
563,1,1,1.036,0
564,1,1,1.123,0
565,1,1,0.859,0
566,0,0,0.144,0
567,1,0,0.399,1
568,0,1,0.780,1
569,1,2,1.596,1
570,1,1,1.299,0
571,1,1,1.220,0
572,1,1,1.366,0
573,1,1,1.426,0
574,1,1,0.978,0
575,0,1,1.254,1
576,1,1,1.186,0
577,0,0,0.486,0
578,1,1,0.512,0
579,1,1,0.893,0
580,1,1,0.797,0
581,1,1,0.971,0
582,3,2,1.789,1
583,2,2,2.025,0
584,1,2,1.737,1
585,2,2,1.970,0
586,2,2,2.041,0
587,1,1,0.912,0
588,2,2,1.587,0
589,2,1,1.296,1
590,1,1,1.030,0
591,2,1,1.162,1
592,1,1,1.442,0
593,1,0,0.423,1
594,1,1,1.122,0
595,1,1,1.000,0
596,1,1,0.771,0
597,2,1,1.414,1
598,2,1,1.295,1
599,1,1,1.452,0
600,2,2,2.059,0
601,2,2,1.957,0
602,1,2,1.531,1
603,1,1,1.165,0
604,1,1,1.441,0
605,1,1,1.236,0
606,1,1,1.474,0
607,1,1,1.238,0
608,2,1,1.285,1
609,1,2,1.768,1
610,3,1,1.132,2
611,0,1,0.904,1
612,1,1,0.976,0
613,2,1,0.924,1
614,1,1,0.991,0
615,2,1,0.774,1
616,2,2,1.813,0
617,1,0,0.372,1
618,1,1,1.217,0
619,1,1,1.192,0
620,1,1,1.491,0
621,1,2,1.536,1
622,2,1,1.440,1
623,1,1,1.386,0
624,2,1,1.363,1
625,1,2,1.580,1
626,1,1,1.130,0
627,1,1,1.447,0
628,1,1,1.283,0
629,2,2,1.773,0
630,3,1,1.434,2
631,2,1,1.311,1
632,2,2,1.606,0
633,2,2,1.577,0
634,2,2,1.746,0
635,1,1,0.933,0
636,1,1,1.297,0
637,0,0,0.330,0
638,1,1,0.700,0
639,1,1,0.884,0
640,0,1,0.690,1
641,1,1,0.664,0
642,1,1,0.983,0
643,1,1,1.023,0
644,1,1,1.084,0
645,0,1,1.405,1
646,1,1,1.013,0
647,1,1,1.084,0
648,0,1,0.879,1
649,0,1,1.047,1
650,1,1,1.113,0
651,0,1,1.179,1
652,1,1,1.421,0
653,0,1,0.738,1
654,1,1,1.202,0
655,0,1,0.910,1
656,1,1,1.461,0
657,2,1,1.292,1
658,1,1,1.352,0
659,1,1,1.382,0
660,1,1,1.420,0
661,1,1,1.337,0
662,1,1,1.324,0
663,1,1,1.396,0
664,0,2,1.573,2
665,0,1,1.119,1
666,3,2,1.652,1
667,1,1,1.282,0
668,0,1,1.310,1
669,1,1,1.366,0
670,1,2,1.851,1
