Error Analysis - GAIT
============================================================

Confusion Matrix:
           |   0    1    2    3    4
         0 |  137   24    2    0    0
         1 |   33   81   12    0    0
         2 |    5   14   35    2    0
         3 |    1    0    5    2    0
         4 |    0    0    0    0    0

Per-class accuracy:
Score 0: 137/163 = 84.0%
Score 1: 81/126 = 64.3%
Score 2: 35/56 = 62.5%
Score 3: 2/8 = 25.0%

All predictions:
idx,true,pred,raw_pred,error
74,0,0,0.487,0
75,1,1,1.214,0
76,0,0,0.176,0
77,0,0,0.246,0
78,0,0,0.275,0
79,1,1,1.073,0
80,0,0,0.462,0
81,2,1,1.263,1
82,0,0,0.177,0
83,1,1,0.591,0
84,0,0,0.176,0
85,1,0,0.211,1
86,0,0,0.180,0
87,1,1,0.899,0
88,1,1,0.777,0
89,1,2,1.894,1
90,2,0,0.187,2
91,2,2,1.903,0
92,2,0,0.173,2
93,2,2,1.951,0
94,0,0,0.214,0
95,0,0,0.177,0
96,0,0,0.178,0
97,1,0,0.191,1
98,1,1,1.109,0
99,1,1,1.187,0
100,1,1,0.881,0
101,1,1,1.093,0
102,0,0,0.177,0
103,0,0,0.343,0
104,0,0,0.272,0
105,1,0,0.268,1
106,0,1,1.325,1
107,1,1,1.234,0
108,2,1,1.309,1
109,1,1,0.783,0
110,1,1,0.598,0
111,1,0,0.187,1
112,2,1,1.458,1
113,0,1,0.935,1
114,2,2,1.938,0
115,1,1,0.789,0
116,0,0,0.387,0
117,0,0,0.241,0
118,0,0,0.325,0
119,0,0,0.174,0
120,0,0,0.178,0
121,1,2,1.557,1
122,0,0,0.176,0
123,1,0,0.176,1
124,2,2,1.837,0
125,0,0,0.404,0
126,1,0,0.227,1
127,2,0,0.480,2
128,0,0,0.218,0
129,0,0,0.291,0
130,0,0,0.177,0
131,0,0,0.228,0
132,0,0,0.219,0
133,0,0,0.327,0
134,0,0,0.174,0
135,0,0,0.179,0
136,3,2,2.286,1
137,1,1,0.864,0
138,2,2,1.544,0
139,1,2,1.581,1
140,3,0,0.184,3
141,1,2,1.666,1
142,0,0,0.109,0
143,0,0,0.112,0
144,0,0,0.134,0
145,0,0,0.155,0
146,0,0,0.156,0
147,1,0,0.208,1
148,1,1,1.050,0
149,2,2,1.717,0
150,0,0,0.077,0
151,0,0,0.078,0
152,0,0,0.065,0
153,0,0,0.164,0
154,0,0,0.408,0
155,1,1,1.119,0
156,1,1,1.122,0
157,2,2,1.949,0
158,1,0,0.159,1
159,2,0,0.426,2
160,1,1,0.608,0
161,0,0,0.132,0
162,1,0,0.192,1
163,2,3,2.730,1
164,2,2,2.246,0
165,0,0,0.088,0
166,0,0,0.104,0
167,0,0,0.162,0
168,1,0,0.123,1
169,2,1,1.137,1
170,0,0,0.108,0
171,2,2,1.855,0
172,0,0,0.175,0
173,0,0,0.106,0
174,2,2,1.826,0
175,1,0,0.242,1
176,1,1,0.774,0
177,0,1,0.898,1
178,0,1,1.000,1
179,0,1,1.006,1
180,0,0,0.127,0
181,1,1,1.033,0
182,1,1,1.046,0
183,1,1,0.532,0
184,1,1,0.951,0
185,1,1,1.001,0
186,1,1,1.289,0
187,1,1,0.755,0
188,1,1,0.861,0
189,1,1,0.515,0
190,0,0,0.113,0
191,0,0,0.117,0
192,1,1,0.868,0
193,0,0,0.111,0
194,1,1,1.065,0
195,0,0,0.098,0
196,2,2,1.694,0
197,0,0,0.099,0
198,0,1,1.163,1
199,1,1,0.751,0
200,1,2,1.778,1
201,0,0,0.111,0
202,2,1,0.764,1
203,0,0,0.117,0
204,2,2,1.876,0
205,0,1,0.677,1
206,0,1,0.884,1
207,1,1,0.669,0
208,1,1,0.813,0
209,0,0,0.418,0
210,0,1,0.774,1
211,3,3,2.814,0
212,3,3,2.727,0
213,0,0,0.065,0
214,1,1,0.769,0
215,0,0,0.078,0
216,0,0,0.085,0
217,2,1,1.276,1
218,1,1,0.780,0
219,0,1,0.721,1
220,1,0,0.431,1
221,1,0,0.467,1
222,1,0,0.100,1
223,3,2,1.851,1
224,0,0,0.082,0
225,1,0,0.490,1
226,2,2,1.691,0
227,0,0,0.070,0
228,2,1,0.734,1
229,2,2,1.618,0
230,0,0,0.071,0
231,0,0,0.236,0
232,0,0,0.129,0
233,2,1,0.827,1
234,0,0,0.112,0
235,0,1,0.663,1
236,1,1,0.675,0
237,1,1,0.734,0
238,0,0,0.085,0
239,0,0,0.215,0
240,0,0,0.103,0
241,1,1,0.519,0
242,1,1,0.908,0
243,1,1,0.693,0
244,1,0,0.488,1
245,1,1,1.198,0
246,1,1,1.197,0
247,1,2,1.506,1
248,1,1,0.852,0
249,0,2,1.598,2
250,1,2,1.607,1
251,0,2,1.850,2
252,2,2,2.065,0
253,0,0,0.079,0
254,0,0,0.078,0
255,0,0,0.090,0
256,0,0,0.108,0
257,1,0,0.092,1
258,1,0,0.479,1
259,1,1,1.079,0
260,1,1,0.902,0
261,0,0,0.078,0
262,0,0,0.281,0
263,2,3,2.818,1
264,0,0,0.086,0
265,1,1,0.848,0
266,1,0,0.088,1
267,0,0,0.069,0
268,0,0,0.069,0
269,0,1,0.518,1
270,0,0,0.072,0
271,0,0,0.383,0
272,0,1,0.800,1
273,2,2,2.114,0
274,1,0,0.211,1
275,1,1,0.729,0
276,0,1,0.567,1
277,1,1,0.730,0
278,0,1,0.943,1
279,0,0,0.179,0
280,2,2,1.838,0
281,2,2,1.989,0
282,2,2,2.481,0
283,0,0,0.048,0
284,0,0,0.122,0
285,0,0,0.184,0
286,0,0,0.312,0
287,0,0,0.208,0
288,0,0,0.054,0
289,0,0,0.159,0
290,2,1,0.773,1
291,0,1,0.517,1
292,0,1,0.515,1
293,0,0,0.029,0
294,0,1,0.902,1
295,0,0,0.206,0
296,0,0,0.474,0
297,2,2,2.363,0
298,1,0,0.219,1
299,1,1,1.020,0
300,0,0,0.173,0
301,2,1,1.422,1
302,0,0,0.113,0
303,1,1,1.275,0
304,0,0,0.053,0
305,1,0,0.057,1
306,1,0,0.039,1
307,2,0,0.026,2
308,1,0,0.444,1
309,2,1,1.101,1
310,0,0,0.153,0
311,0,1,0.512,1
312,1,0,0.415,1
313,0,0,0.302,0
314,1,2,1.521,1
315,1,1,0.788,0
316,1,1,0.691,0
317,1,1,0.914,0
318,1,1,1.108,0
319,1,1,1.162,0
320,2,2,1.687,0
321,0,1,0.928,1
322,1,1,0.860,0
323,0,0,0.438,0
324,1,1,0.647,0
325,1,0,0.093,1
326,1,1,1.209,0
327,2,2,2.161,0
328,0,0,0.292,0
329,2,2,2.209,0
330,0,0,0.424,0
331,1,1,1.241,0
332,1,1,0.928,0
333,0,0,0.264,0
334,1,1,1.187,0
335,2,2,1.989,0
336,0,0,0.003,0
337,0,0,0.020,0
338,1,0,0.061,1
339,0,0,0.091,0
340,0,0,0.054,0
341,0,0,0.193,0
342,0,0,0.078,0
343,0,0,0.251,0
344,1,0,0.216,1
345,2,2,2.131,0
346,2,2,2.124,0
347,2,2,2.159,0
348,1,2,2.082,1
349,0,1,0.649,1
350,1,1,0.950,0
351,1,2,1.685,1
352,3,2,2.301,1
